county,municipality,muni_code,ld,cd,census_code,prez_dem,prez_rep,johnson,stein,castle,de_la_fuente,kennedy,la_riva,moorhead,write_in,total_votes,winner,first_place,second_place,margin_victory,prez_dem_per,prez_rep_per,johnson_per,stein_per,others_total,others_per
Monmouth,Farmingdale,1315,30,4,3402950,235,423,25,6,0,0,0,0,0,0,689,prez_rep,423,235,27.28592163,34.10740203,61.39332366,3.628447025,0.870827286,31,4.499274311
Monmouth,Freehold,1316,11,4,3405200,1958,1501,78,42,3,4,1,1,5,0,3593,prez_dem,1958,1501,12.71917618,54.4948511,41.77567492,2.170887837,1.168939605,134,3.729473977
Monmouth,Freehold Twp,1317,11,4,3405230,7367,9905,350,157,14,7,10,2,14,0,17826,prez_rep,9905,7367,14.23763043,41.32727477,55.56490519,1.963424212,0.880736004,554,3.107820038
Monmouth,Hazlet,1318,13,6,3400690,3547,6219,228,115,9,3,6,2,15,0,10144,prez_rep,6219,3547,26.34069401,34.96648265,61.30717666,2.247634069,1.133675079,378,3.726340694
Monmouth,Highlands,1319,13,6,3401500,975,1157,41,45,3,0,0,1,4,0,2226,prez_rep,1157,975,8.176100629,43.80053908,51.97663971,1.841868823,2.021563342,94,4.222821204
Monmouth,Holmdel,1320,13,4,3402640,3550,4884,174,83,4,1,2,1,7,0,8706,prez_rep,4884,3550,15.32276591,40.77647599,56.0992419,1.99862164,0.953365495,272,3.124282104
Monmouth,Howell,1321,30,4,3403300,9430,15808,549,273,29,8,13,8,43,0,26161,prez_rep,15808,9430,24.379802,36.04602271,60.4258247,2.098543634,1.043538091,923,3.528152594
Monmouth,Interlaken,1322,11,6,3404200,268,296,18,8,1,0,0,0,0,0,591,prez_rep,296,268,4.737732657,45.34686971,50.08460237,3.045685279,1.353637902,27,4.568527919
Monmouth,Keansburg,1323,13,6,3406480,1281,1733,52,29,2,2,0,1,2,0,3102,prez_rep,1733,1281,14.57124436,41.2959381,55.86718246,1.676337847,0.934880722,88,2.836879433
Monmouth,Keyport,1324,13,6,3406810,1416,1607,44,39,6,3,4,2,7,0,3128,prez_rep,1607,1416,6.106138107,45.2685422,51.37468031,1.406649616,1.246803069,105,3.356777494
Monmouth,Lake Como,1346,30,4,3407560,379,382,20,12,0,0,0,0,0,0,793,prez_rep,382,379,0.378310214,47.79319042,48.17150063,2.522068096,1.513240858,32,4.035308953
Monmouth,Little Silver,1325,13,4,3400770,1683,1859,95,29,0,0,0,0,5,0,3671,prez_rep,1859,1683,4.794333969,45.84581858,50.64015255,2.587850722,0.789975484,129,3.514028875
Monmouth,Loch Arbour,1326,11,6,3401010,49,53,4,1,0,0,0,0,0,0,107,prez_rep,53,49,3.738317757,45.79439252,49.53271028,3.738317757,0.934579439,5,4.672897196
